Vendor_ID,month,Passengers_sum,Passengers_mean,Ride_Count
T00001,2020-11,495047,1.0620134190687964,466140.0610493898
T00001,2020-12,476564,1.0589482242821366,450035.22275422275
T00001,2021-01,454129,1.0585559753809686,429008.01711176534
T00001,2021-02,457604,1.0645294860702488,429865.03050212597
T00001,2021-03,654101,1.0775783857817203,607010.1336762502
T00001,2021-04,745137,1.0883987381007973,684617.6625491387
T00001,2021-05,865719,1.1206744163181805,772498.2273122635
T00001,2021-06,972015,1.1299171103571797,860253.3682251568
T00001,2021-07,984940,1.1617323690404686,847820.0541261581
T00001,2021-08,943631,1.1574393864661918,815274.6580371904
T00001,2021-09,1021749,1.1447195988312078,892575.789777021
T00001,2021-10,1249096,1.154849283629356,1081609.5378909132
T00001,2021-11,1272336,1.1575611187165398,1099152.3293480333
T00001,2021-12,1206688,1.1632809657074474,1037314.3166373007
T00001,2022-01,849198,1.1081542067066261,766317.534924828
T00001,2022-02,1031737,1.115180668896714,925174.7530924584
T00001,2022-03,1236760,1.1116574512882442,1112536.9587248128
T00001,2022-04,1283939,1.1736949397897791,1093929.0581162143
T00001,2022-05,1272159,1.1678389289485418,1089327.447874496
T00001,2022-06,1239428,1.1514641032867772,1076393.0863863977
T00001,2022-07,1118402,1.1728642088851506,953564.7788784356
T00001,2022-08,1065125,1.1490683006800193,926946.6396119868
T00001,2022-09,1062714,1.1288373187419092,941423.5181242912
T00001,2022-10,1230518,1.123026736505175,1095715.676217411
T00001,2022-11,851598,1.1056358531614392,770233.7053967208
T00001,2022-12,1137820,1.1247116110401918,1011654.888978771
T00001,2023-01,958976,1.1163766875739902,859007.5470708375
T00001,2023-02,915124,1.112269202831213,822754.057804179
T00001,2023-03,1094394,1.1136781744836775,982684.248532914
T00001,2023-04,1064170,1.128944416819241,942623.9096857039
T00001,2023-05,1088183,1.1095243860258726,980765.2843915276
T00001,2023-06,1021333,1.1233086785700799,909218.4717206225
T00001,2023-07,885119,1.1430970157736904,774316.6046155047
T00001,2023-08,824703,1.1021982779846664,748234.7019339774
T00001,2023-09,712070,1.0046015233100545,708808.4016175942
T00001,2023-10,889656,1.0014440893348517,888373.1098666724
T00001,2023-11,861179,1.0356603580794483,831526.4683848569
T00001,2023-12,946438,1.0966199369816967,863050.1489923183
T00001,2024-01,769955,1.0352809135556522,743716.0194092678
T00001,2024-02,748784,1.030527437744298,726602.6818645403
T00001,2024-03,812632,0.9989707622765407,813469.2532423113
T00001,2024-04,812259,1.0150000337182292,800255.1458293729
T00001,2024-05,878172,1.0390100400048077,845200.6873734699
T00001,2024-06,828815,1.0350880531602011,800719.3180034935
T00001,2024-07,743992,1.0627754120764625,700046.304746908
T00001,2024-08,717377,1.0616217548420686,675736.9060383659
T00001,2024-09,787597,1.017051181000912,774392.6900757356
T00001,2024-10,889299,1.0335715185832242,860413.6085512623
T00001,2024-11,850768,1.0316251362689806,824687.1563026506
T00001,2024-12,842300,1.0375677456516978,811802.4134134491
T00002,2001-01,31,1.3333333333333335,23.249999999999996
T00002,2001-02,1,1.0,1.0
T00002,2001-08,1,1.0,1.0
T00002,2002-02,14,1.5555555555555556,9.0
T00002,2002-10,567,1.2915717539863325,439.0
T00002,2002-12,62,1.1074074074074074,55.986622073578594
T00002,2003-01,63,1.253787878787879,50.2477341389728
T00002,2003-03,1,1.0,1.0
T00002,2003-12,1,1.0,1.0
T00002,2004-04,1,1.0,1.0
T00002,2008-08,11,3.5,3.142857142857143
T00002,2008-10,1,1.0,1.0
